
Project:     BUAATrolley2018165
Program:     Inertial Explorer Version 8.70.5101
Profile:     BUAADNCForPlot
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      D:\confi\Documents\SPANProject\BUAATrolley2018165.cts
ProcessInfo: BUAATrolley2018165 by Unknown on 9/17/2018 at 09:59:39

Datum:       WGS84
Master 1:    Name BDStarBaseOEM71, Status ENABLED
             Antenna height 0.000 m, to L1PC [Generic(NONE)]
             Lat, Lon, El Hgt 40 06 04.16122, 116 07 53.73361, 58.918 m [WGS84, 2018.452]
Master 2:    Name BJNM, Status DISABLED
             Antenna height 0.000 m, to ARP [NOV702GG(NONE)]
             Lat, Lon, El Hgt 40 14 43.16664, 116 13 26.87428, 109.122 m [WGS84, 2018.449]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=-0.275, y=-0.055, z=0.144 m (x-right, y-fwd, z-up)
Body to Sensor Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees (Rotate IMU into Vehicle Frame)
IMU->Secondary Sensor Lever Arms: 
            x=-0.275, y=-0.055, z=0.144 m (x-right, y-fwd, z-up, IMU->SENSOR)

 Week ,    CorrTime ,   HzSpeed ,   Heading , iFlag    , GP , GL , BD ,   PDOP , Update         ,        CARms ,  DopRms ,        L1Rms ,      COG
(week         (sec)       (m/s)       (deg)                              (dop)                             (m)     (m/s)            (m)      (deg)
 2005 ,  379401.000 ,     0.426 ,   -93.190 , FREE     ,  0 ,  0 ,  0 ,   0.00 ,                ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379402.000 ,     0.450 ,   -94.289 , FREE     ,  0 ,  0 ,  0 ,   0.00 ,                ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379403.000 ,     0.622 ,   -92.691 , FREE     ,  0 ,  0 ,  0 ,   0.00 ,                ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379404.000 ,     0.650 ,   -92.176 , FREE     ,  0 ,  0 ,  0 ,   0.00 ,                ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379405.000 ,     0.893 ,   -90.959 , FREE     ,  0 ,  0 ,  0 ,   0.00 ,                ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379406.000 ,     0.991 ,   -90.886 , PHS      ,  1 ,  0 ,  0 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379407.000 ,     1.063 ,   -95.459 , PHS      ,  1 ,  0 ,  0 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379408.000 ,     1.037 ,  -101.023 , PSR      ,  0 ,  0 ,  0 ,   0.00 ,  PR            ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379409.000 ,     1.285 ,   -96.909 , PSR      ,  0 ,  0 ,  0 ,   0.00 ,  PR            ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379410.000 ,     1.418 ,   -80.846 , FREE     ,  0 ,  0 ,  0 ,   0.00 ,                ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379411.000 ,     1.421 ,   -82.177 , FREE     ,  0 ,  0 ,  0 ,   0.00 ,                ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379412.000 ,     1.274 ,   -99.883 , FREE     ,  0 ,  0 ,  0 ,   0.00 ,                ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379413.000 ,     1.340 ,  -100.982 , FREE     ,  0 ,  0 ,  0 ,   0.00 ,                ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379414.000 ,     1.524 ,   -92.285 , FREE     ,  0 ,  0 ,  0 ,   0.00 ,                ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379415.000 ,     1.594 ,   -89.347 , PSR      ,  0 ,  0 ,  0 ,   0.00 ,  PR            ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379416.000 ,     1.455 ,   -93.014 , FREE     ,  0 ,  0 ,  0 ,   0.00 ,                ,        0.000 ,   0.000 ,        0.000 ,    0.000
 2005 ,  379417.000 ,     1.513 ,   -93.553 , PHS      ,  0 ,  0 ,  1 ,   0.00 ,  TR PR         ,        0.000 ,   0.000 ,        0.000 ,    0.000
